Entity,Code,Year,other_land_categories,croplands, forests,savannas,shrublands_and_grasslands
Australia,AUS,2002,43919.164,83566.625,718977.75,6226604.5,69275530
Australia,AUS,2003,37608.203,77320.055,1260733.4,5386881,24385526
Australia,AUS,2004,46559.47,855758.3,127120.86,4846585,57259470
Australia,AUS,2005,57228,518164.56,117268.04,5521751,21070830
Australia,AUS,2006,61113.324,609179.8,972532.5,5401520.5,49801412
Australia,AUS,2007,50036.938,38080.445,351160.12,3865766.8,45799270
Australia,AUS,2008,29215.05,138970.03,78286.02,4386743,26167386
Australia,AUS,2009,63818.023,251236.52,566441.3,7184604.5,31672544
Australia,AUS,2010,53106.56,341328.75,89104.82,2120055,15581472
Australia,AUS,2011,131993.62,849425.8,181601.23,6843683.5,79537580
Australia,AUS,2012,49521.76,598468.4,273904.47,7571054.5,80120840
Australia,AUS,2013,55682.46,307734.66,480599.3,4017165.5,22751910
Australia,AUS,2014,56927.484,556803.1,360047,5708053,39086532
Australia,AUS,2015,68905.44,392202.88,228718.83,4559608,35924204
Australia,AUS,2016,46602.4,369620.78,298139.44,3685260.2,19349140
Australia,AUS,2017,64011.22,981333.56,187976.6,3176755.2,44311390
Australia,AUS,2018,42438.023,343067.5,307198.03,4322539,46107350
Australia,AUS,2019,79509.57,453273.25,3326114.5,4972611,26302428
Australia,AUS,2020,43403.98,113339.78,1830373,3487624,10969552
Australia,AUS,2021,50208.668,510973.5,63367.24,3171818,22017862
Australia,AUS,2022,37994.586,490001.38,68197.06,2827870.5,24097582
