Entity,Code,Year,Annual_PM25_emissions_from_wildfires
Australia,AUS,2003,1413454.2
Australia,AUS,2004,1968073.9
Australia,AUS,2005,1079931.4
Australia,AUS,2006,2010323.4
Australia,AUS,2007,1772713.4
Australia,AUS,2008,1001983.25
Australia,AUS,2009,1452356
Australia,AUS,2010,653555.44
Australia,AUS,2011,2868447.2
Australia,AUS,2012,3111937.5
Australia,AUS,2013,1140968.2
Australia,AUS,2014,1619487.2
Australia,AUS,2015,1493356.1
Australia,AUS,2016,957296.8
Australia,AUS,2017,1668066.1
Australia,AUS,2018,1849368.5
Australia,AUS,2019,2421124.2
Australia,AUS,2020,1391828.9
Australia,AUS,2021,935566.44
Australia,AUS,2022,921778.7
Australia,AUS,2023,2322675.5
Australia,AUS,2024,1142608.1
Australia,AUS,2025,771556.25
