Entity,Year,Annual_C02_emission_per_capita
Australia,1950,6.816665
Australia,1951,7.2603164
Australia,1952,7.235401
Australia,1953,7.1500974
Australia,1954,7.5496936
Australia,1955,7.8182235
Australia,1956,8.009032
Australia,1957,7.830798
Australia,1958,7.9142156
Australia,1959,8.2576065
Australia,1960,8.505577
Australia,1961,8.286273
Australia,1962,8.490391
Australia,1963,8.796246
Australia,1964,9.304669
Australia,1965,10.002651
Australia,1966,9.983728
Australia,1967,10.35353
Australia,1968,10.703904
Australia,1969,11.115485
Australia,1970,11.735548
Australia,1971,11.626134
Australia,1972,11.544491
Australia,1973,12.585821
Australia,1974,12.112886
Australia,1975,12.458735
Australia,1976,12.088416
Australia,1977,12.807725
Australia,1978,13.297853
Australia,1979,13.233434
Australia,1980,13.882577
Australia,1981,14.302423
Australia,1982,14.349259
Australia,1983,13.470442
Australia,1984,13.924914
Australia,1985,14.180319
Australia,1986,13.941844
Australia,1987,14.37299
Australia,1988,14.507384
Australia,1989,15.225036
Australia,1990,16.24171
Australia,1991,16.10852
Australia,1992,16.213139
Australia,1993,16.29946
Australia,1994,16.41024
Australia,1995,16.858253
Australia,1996,17.041004
Australia,1997,17.310703
Australia,1998,17.866592
Australia,1999,18.18931
Australia,2000,18.293922
Australia,2001,18.475372
Australia,2002,18.501146
Australia,2003,18.649845
Australia,2004,19.113342
Australia,2005,19.028614
Australia,2006,19.055326
Australia,2007,19.063883
Australia,2008,18.94381
Australia,2009,18.688597
Australia,2010,18.297293
Australia,2011,17.965393
Australia,2012,17.7746
Australia,2013,17.174335
Australia,2014,16.64416
Australia,2015,16.765352
Australia,2016,16.867601
Australia,2017,16.732723
Australia,2018,16.544432
Australia,2019,16.315758
Australia,2020,15.506029
Australia,2021,14.987412
Australia,2022,14.669758
Australia,2023,14.478477
